epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8987,0,118.416,0,0,0,0,0,0,180.651,0,9.09e-06,9.09e-06,9.09e-06
2,29.9844,0,121.538,0,0,0,0,0,0,180.74,0,2.7e-05,2.7e-05,2.7e-05
3,43.9403,0,119.693,0,0,0,0,0,0,180.721,0,4.45501e-05,4.45501e-05,4.45501e-05
4,57.5429,0,118.265,0,0,0,0,0,0,180.732,0,6.17402e-05,6.17402e-05,6.17402e-05
5,71.2095,0,117.245,0,0,0,0,0,0,180.728,0,7.85703e-05,7.85703e-05,7.85703e-05
6,84.4581,0,115.129,0,0,0,0,0,0,180.803,0,9.50405e-05,9.50405e-05,9.50405e-05
7,98.5628,0,113.557,0,0,0,0,0,0,180.907,0,0.000111151,0.000111151,0.000111151
8,112.495,0,112.012,0,0,0,0,0,0,180.973,0,0.000126901,0.000126901,0.000126901
9,125.516,0,110.725,0,0,0,0,0,0,180.963,0,0.000142291,0.000142291,0.000142291
10,139.13,0,110.277,0,0,0,0,0,0,181.056,0,0.000157322,0.000157322,0.000157322
11,152.872,0,109.465,0,0,0,0,0,0,181.055,0,0.000171992,0.000171992,0.000171992
12,166.286,0,108.83,0,0,0,0,0,0,181.138,0,0.000186302,0.000186302,0.000186302
13,179.417,0,108.127,0,0,0,0,0,0,181.205,0,0.000200253,0.000200253,0.000200253
14,192.688,0,107.493,0,0,0,0,0,0,181.199,0,0.000213843,0.000213843,0.000213843
15,206.563,0,106.67,0,0,0,0,0,0,181.196,0,0.000227074,0.000227074,0.000227074
16,219.742,0,105.938,0,0,0,0,0,0,181.247,0,0.000239944,0.000239944,0.000239944
17,233.153,0,105.135,0,0,0,0,0,0,181.294,0,0.000252455,0.000252455,0.000252455
18,246.476,0,104.418,0,0,0,0,0,0,181.262,0,0.000264605,0.000264605,0.000264605
19,261.173,0,103.676,0,0,0,0,0,0,181.301,0,0.000276396,0.000276396,0.000276396
20,275.982,0,102.967,0,0,0,0,0,0,181.244,0,0.000287827,0.000287827,0.000287827
21,290.681,0,102.061,0,0,0,0,0,0,181.321,0,0.000298897,0.000298897,0.000298897
22,306.105,0,101.244,0,0,0,0,0,0,181.217,0,0.000309608,0.000309608,0.000309608
23,320.381,0,100.532,0,0,0,0,0,0,181.28,0,0.000319959,0.000319959,0.000319959
24,333.474,0,99.5531,0,0,0,0,0,0,181.134,0,0.00032995,0.00032995,0.00032995
25,348.651,0,98.7642,0,0,0,0,0,0,180.837,0,0.000339581,0.000339581,0.000339581
26,364.45,0,97.7674,0,0,0,0,0,0,180.622,0,0.000348851,0.000348851,0.000348851
27,381.357,0,97.2219,0,0,0,0,0,0,180.267,0,0.000357762,0.000357762,0.000357762
28,398.089,0,96.3122,0,0,0,0,0,0,180.267,0,0.000366313,0.000366313,0.000366313
29,414.847,0,96.0547,0,0,0,0,0,0,179.746,0,0.000374504,0.000374504,0.000374504
30,429.786,0,95.3075,0,0,0,0,0,0,178.883,0,0.000382335,0.000382335,0.000382335
31,443.981,0,94.3111,0,0,0,0,0,0,178.883,0,0.000389806,0.000389806,0.000389806
32,457.534,0,93.9934,0,0,0,0,0,0,177.737,0,0.000396918,0.000396918,0.000396918
33,471.257,0,93.2314,0,0,0,0,0,0,176.45,0,0.000403669,0.000403669,0.000403669
34,484.805,0,92.268,0,0,0,0,0,0,176.45,0,0.00041006,0.00041006,0.00041006
35,499.508,0,91.8836,0,0,0,0,0,0,174.839,0,0.000416091,0.000416091,0.000416091
36,514.865,0,91.3107,0,0,0,0,0,0,173.093,0,0.000421762,0.000421762,0.000421762
37,530.001,0,90.1945,0,0,0,0,0,0,173.093,0,0.000427074,0.000427074,0.000427074
38,545.455,0,89.8676,0,0,0,0,0,0,171.275,0,0.000432025,0.000432025,0.000432025
39,561.033,0,89.1933,0,0,0,0,0,0,169.094,0,0.000436616,0.000436616,0.000436616
40,576.398,0,88.1049,0,0,0,0,0,0,169.094,0,0.000440848,0.000440848,0.000440848
41,591.848,0,87.7172,0,0,0,0,0,0,166.706,0,0.000444719,0.000444719,0.000444719
42,607.774,0,87.1971,0,0,0,0,0,0,164.344,0,0.000448231,0.000448231,0.000448231
43,624.061,0,85.9513,0,0,0,0,0,0,164.344,0,0.000451382,0.000451382,0.000451382
44,639.565,0,85.9671,0,0,0,0,0,0,162.123,0,0.000454174,0.000454174,0.000454174
45,654.819,0,84.9622,0,0,0,0,0,0,162.123,0,0.000456605,0.000456605,0.000456605
46,670.024,0,84.9075,0,0,0,0,0,0,159.931,0,0.000458677,0.000458677,0.000458677
47,685.518,0,83.9772,0,0,0,0,0,0,159.931,0,0.000460389,0.000460389,0.000460389
48,701.504,0,84.0843,0,0,0,0,0,0,158.105,0,0.00046174,0.00046174,0.00046174
49,717.792,0,83.0984,0,0,0,0,0,0,158.105,0,0.000462732,0.000462732,0.000462732
50,733.145,0,82.9023,0,0,0,0,0,0,156.078,0,0.000463364,0.000463364,0.000463364
51,748.784,0,82.0281,0,0,0,0,0,0,156.078,0,0.000459045,0.000459045,0.000459045
52,764.153,0,82.0216,0,0,0,0,0,0,154.381,0,0.000450046,0.000450046,0.000450046
53,779.711,0,81.043,0,0,0,0,0,0,154.381,0,0.000441047,0.000441047,0.000441047
54,795.369,0,81.0986,0,0,0,0,0,0,152.462,0,0.000432048,0.000432048,0.000432048
55,811.266,0,80.0965,0,0,0,0,0,0,152.462,0,0.000423049,0.000423049,0.000423049
56,826.945,0,80.1465,0,0,0,0,0,0,150.227,0,0.000414049,0.000414049,0.000414049
57,842.794,0,79.2172,0,0,0,0,0,0,150.227,0,0.00040505,0.00040505,0.00040505
58,858.597,0,79.3175,0,0,0,0,0,0,147.702,0,0.000396051,0.000396051,0.000396051
59,874.074,0,78.4767,0,0,0,0,0,0,147.702,0,0.000387052,0.000387052,0.000387052
60,889.627,0,78.4831,0,0,0,0,0,0,145.212,0,0.000378053,0.000378053,0.000378053
61,905.012,0,77.7969,0,0,0,0,0,0,145.212,0,0.000369054,0.000369054,0.000369054
62,921.224,0,77.725,0,0,0,0,0,0,142.771,0,0.000360055,0.000360055,0.000360055
63,936.375,0,77.069,0,0,0,0,0,0,142.771,0,0.000351056,0.000351056,0.000351056
64,952.4,0,77.0622,0,0,0,0,0,0,140.527,0,0.000342057,0.000342057,0.000342057
65,968.696,0,76.4787,0,0,0,0,0,0,140.527,0,0.000333058,0.000333058,0.000333058
66,985.065,0,76.4169,0,0,0,0,0,0,138.512,0,0.000324058,0.000324058,0.000324058
67,1000.74,0,75.8431,0,0,0,0,0,0,138.512,0,0.000315059,0.000315059,0.000315059
68,1016.08,0,75.7785,0,0,0,0,0,0,136.83,0,0.00030606,0.00030606,0.00030606
69,1030.95,0,75.2601,0,0,0,0,0,0,136.83,0,0.000297061,0.000297061,0.000297061
70,1045.98,0,75.2671,0,0,0,0,0,0,135.595,0,0.000288062,0.000288062,0.000288062
71,1060.78,0,74.7291,0,0,0,0,0,0,135.595,0,0.000279063,0.000279063,0.000279063
72,1075.74,0,74.8019,0,0,0,0,0,0,134.829,0,0.000270064,0.000270064,0.000270064
73,1090.63,0,74.2532,0,0,0,0,0,0,134.829,0,0.000261065,0.000261065,0.000261065
74,1106.07,0,74.2161,0,0,0,0,0,0,133.935,0,0.000252066,0.000252066,0.000252066
75,1121.49,0,73.8074,0,0,0,0,0,0,133.935,0,0.000243067,0.000243067,0.000243067
76,1136.91,0,73.9406,0,0,0,0,0,0,132.683,0,0.000234068,0.000234068,0.000234068
77,1152.04,0,73.3147,0,0,0,0,0,0,132.683,0,0.000225068,0.000225068,0.000225068
78,1167.6,0,73.3221,0,0,0,0,0,0,131.681,0,0.000216069,0.000216069,0.000216069
79,1182.66,0,73.0144,0,0,0,0,0,0,131.681,0,0.00020707,0.00020707,0.00020707
80,1197.78,0,72.9707,0,0,0,0,0,0,130.844,0,0.000198071,0.000198071,0.000198071
81,1212.87,0,72.8112,0,0,0,0,0,0,130.844,0,0.000189072,0.000189072,0.000189072
82,1228.13,0,72.6624,0,0,0,0,0,0,130.245,0,0.000180073,0.000180073,0.000180073
83,1243.74,0,72.3763,0,0,0,0,0,0,130.245,0,0.000171074,0.000171074,0.000171074
84,1259.09,0,72.4306,0,0,0,0,0,0,129.659,0,0.000162075,0.000162075,0.000162075
85,1275.32,0,72.0454,0,0,0,0,0,0,129.659,0,0.000153076,0.000153076,0.000153076
86,1291.19,0,72.0811,0,0,0,0,0,0,129.31,0,0.000144077,0.000144077,0.000144077
87,1307.79,0,71.8264,0,0,0,0,0,0,129.31,0,0.000135077,0.000135077,0.000135077
88,1322.34,0,71.7543,0,0,0,0,0,0,129.026,0,0.000126078,0.000126078,0.000126078
89,1337.17,0,71.6177,0,0,0,0,0,0,129.026,0,0.000117079,0.000117079,0.000117079
90,1352.37,0,71.5668,0,0,0,0,0,0,128.633,0,0.00010808,0.00010808,0.00010808
91,1367.02,0,71.3704,0,0,0,0,0,0,128.633,0,9.9081e-05,9.9081e-05,9.9081e-05
92,1381.06,0,71.425,0,0,0,0,0,0,128.379,0,9.00819e-05,9.00819e-05,9.00819e-05
93,1395.08,0,71.3542,0,0,0,0,0,0,128.379,0,8.10828e-05,8.10828e-05,8.10828e-05
94,1409.06,0,71.1916,0,0,0,0,0,0,128.219,0,7.20837e-05,7.20837e-05,7.20837e-05
95,1422.59,0,71.1672,0,0,0,0,0,0,128.219,0,6.30846e-05,6.30846e-05,6.30846e-05
96,1435.83,0,71.1103,0,0,0,0,0,0,128.104,0,5.40855e-05,5.40855e-05,5.40855e-05
97,1448.95,0,71.0331,0,0,0,0,0,0,128.104,0,4.50864e-05,4.50864e-05,4.50864e-05
98,1462.63,0,71.1167,0,0,0,0,0,0,128.095,0,3.60873e-05,3.60873e-05,3.60873e-05
99,1475.96,0,71.0151,0,0,0,0,0,0,128.095,0,2.70882e-05,2.70882e-05,2.70882e-05
100,1490.58,0,71.1195,0,0,0,0,0,0,128.197,0,1.80891e-05,1.80891e-05,1.80891e-05
